Time, Quadrant Number, Ball Colour, Event Type
11:02:43, Quadrant 3, white, Entry
11:02:43, Quadrant 3, orange, Entry
11:02:43, Quadrant 3, blue, Entry
11:02:43, Quadrant 3, yellow, Entry
11:02:44, Quadrant 3, white, Entry
11:02:44, Quadrant 3, orange, Entry
11:02:44, Quadrant 3, blue, Entry
11:02:44, Quadrant 3, yellow, Entry
11:02:44, Quadrant 3, white, Entry
11:02:44, Quadrant 3, orange, Entry
11:02:44, Quadrant 3, blue, Entry
11:02:44, Quadrant 3, yellow, Entry
11:02:45, Quadrant 3, white, Entry
11:02:45, Quadrant 3, orange, Entry
11:02:45, Quadrant 3, blue, Entry
11:02:45, Quadrant 3, yellow, Entry
11:02:46, Quadrant 3, white, Entry
11:02:46, Quadrant 3, orange, Entry
11:02:46, Quadrant 3, blue, Entry
11:02:46, Quadrant 3, yellow, Entry
11:02:47, Quadrant 3, white, Entry
11:02:47, Quadrant 3, orange, Entry
11:02:47, Quadrant 3, blue, Entry
11:02:47, Quadrant 3, yellow, Entry
11:02:48, Quadrant 3, white, Entry
11:02:48, Quadrant 3, orange, Entry
11:02:48, Quadrant 3, blue, Entry
11:02:48, Quadrant 3, yellow, Entry
11:02:49, Quadrant 3, white, Entry
11:02:49, Quadrant 3, orange, Entry
11:02:49, Quadrant 3, blue, Entry
11:02:49, Quadrant 3, yellow, Entry
11:02:50, Quadrant 3, white, Entry
11:02:50, Quadrant 3, orange, Entry
11:02:50, Quadrant 3, blue, Entry
11:02:50, Quadrant 3, yellow, Entry
11:02:50, Quadrant 3, white, Entry
11:02:50, Quadrant 3, orange, Entry
11:02:50, Quadrant 3, blue, Entry
11:02:50, Quadrant 3, yellow, Entry
11:02:52, Quadrant 3, white, Entry
11:02:52, Quadrant 3, orange, Entry
11:02:52, Quadrant 3, blue, Entry
11:02:52, Quadrant 3, yellow, Entry
11:02:53, Quadrant 3, white, Entry
11:02:53, Quadrant 3, orange, Entry
11:02:53, Quadrant 3, blue, Entry
11:02:53, Quadrant 3, yellow, Entry
11:02:54, Quadrant 3, white, Entry
11:02:54, Quadrant 3, orange, Entry
11:02:54, Quadrant 3, blue, Entry
11:02:54, Quadrant 3, yellow, Entry
11:02:55, Quadrant 3, white, Entry
11:02:55, Quadrant 3, orange, Entry
11:02:55, Quadrant 3, blue, Entry
11:02:55, Quadrant 3, yellow, Entry
11:02:56, Quadrant 3, white, Entry
11:02:56, Quadrant 3, orange, Entry
11:02:56, Quadrant 3, blue, Entry
11:02:56, Quadrant 3, yellow, Entry
11:02:57, Quadrant 3, white, Entry
11:02:57, Quadrant 3, orange, Entry
11:02:57, Quadrant 3, blue, Entry
11:02:57, Quadrant 3, yellow, Entry
11:02:58, Quadrant 3, white, Entry
11:02:58, Quadrant 3, orange, Entry
11:02:58, Quadrant 3, blue, Entry
11:02:58, Quadrant 3, yellow, Entry
11:02:59, Quadrant 3, white, Entry
11:02:59, Quadrant 3, orange, Entry
11:02:59, Quadrant 3, blue, Entry
11:02:59, Quadrant 3, yellow, Entry
11:03:00, Quadrant 3, white, Entry
11:03:00, Quadrant 3, orange, Entry
11:03:00, Quadrant 3, blue, Entry
11:03:00, Quadrant 3, yellow, Entry
11:03:01, Quadrant 3, white, Entry
11:03:01, Quadrant 3, orange, Entry
11:03:01, Quadrant 3, blue, Entry
11:03:01, Quadrant 3, yellow, Entry
11:03:02, Quadrant 3, white, Entry
11:03:02, Quadrant 3, orange, Entry
11:03:02, Quadrant 3, blue, Entry
11:03:02, Quadrant 3, yellow, Entry
11:03:03, Quadrant 3, white, Entry
11:03:03, Quadrant 3, orange, Entry
11:03:03, Quadrant 3, blue, Entry
11:03:03, Quadrant 3, yellow, Entry
11:03:04, Quadrant 3, white, Entry
11:03:04, Quadrant 3, orange, Entry
11:03:04, Quadrant 3, blue, Entry
11:03:04, Quadrant 3, yellow, Entry
11:03:05, Quadrant 3, white, Entry
11:03:05, Quadrant 3, orange, Entry
11:03:05, Quadrant 3, blue, Entry
11:03:05, Quadrant 3, yellow, Entry
11:03:06, Quadrant 3, white, Entry
11:03:06, Quadrant 3, orange, Entry
11:03:06, Quadrant 3, blue, Entry
11:03:06, Quadrant 3, yellow, Entry
11:03:07, Quadrant 3, white, Entry
11:03:07, Quadrant 3, orange, Entry
11:03:07, Quadrant 3, blue, Entry
11:03:07, Quadrant 3, yellow, Entry
11:03:08, Quadrant 3, white, Entry
11:03:08, Quadrant 3, orange, Entry
11:03:08, Quadrant 3, blue, Entry
11:03:08, Quadrant 3, yellow, Entry
11:03:09, Quadrant 3, white, Entry
11:03:09, Quadrant 3, orange, Entry
11:03:09, Quadrant 3, blue, Entry
11:03:09, Quadrant 3, yellow, Entry
11:03:10, Quadrant 3, white, Entry
11:03:10, Quadrant 3, orange, Entry
11:03:10, Quadrant 3, blue, Entry
11:03:10, Quadrant 3, yellow, Entry
11:03:11, Quadrant 3, white, Entry
11:03:11, Quadrant 3, orange, Entry
11:03:11, Quadrant 3, blue, Entry
11:03:11, Quadrant 3, yellow, Entry
11:03:12, Quadrant 3, white, Entry
11:03:12, Quadrant 3, orange, Entry
11:03:12, Quadrant 3, blue, Entry
11:03:12, Quadrant 3, yellow, Entry
11:03:13, Quadrant 3, white, Entry
11:03:13, Quadrant 3, orange, Entry
11:03:13, Quadrant 3, blue, Entry
11:03:13, Quadrant 3, yellow, Entry
11:03:14, Quadrant 3, white, Entry
11:03:14, Quadrant 3, orange, Entry
11:03:14, Quadrant 3, blue, Entry
11:03:14, Quadrant 3, yellow, Entry
11:03:15, Quadrant 3, white, Entry
11:03:15, Quadrant 3, orange, Entry
11:03:15, Quadrant 3, blue, Entry
11:03:15, Quadrant 3, yellow, Entry
11:03:16, Quadrant 3, white, Entry
11:03:16, Quadrant 3, orange, Entry
11:03:16, Quadrant 3, blue, Entry
11:03:16, Quadrant 3, yellow, Entry
11:03:17, Quadrant 3, white, Entry
11:03:17, Quadrant 3, orange, Entry
11:03:17, Quadrant 3, blue, Entry
11:03:17, Quadrant 3, yellow, Entry
11:03:18, Quadrant 3, white, Entry
11:03:18, Quadrant 3, orange, Entry
11:03:18, Quadrant 3, blue, Entry
11:03:18, Quadrant 3, yellow, Entry
11:03:19, Quadrant 3, white, Entry
11:03:19, Quadrant 3, orange, Entry
11:03:19, Quadrant 3, blue, Entry
11:03:19, Quadrant 3, yellow, Entry
11:03:20, Quadrant 3, white, Entry
11:03:20, Quadrant 3, orange, Entry
11:03:20, Quadrant 3, blue, Entry
11:03:20, Quadrant 3, yellow, Entry
